child	age	dur	nation	god	univ
1	38	9	0	3	0
0	19	13	0	3	0
1	25	10	0	2	0
0	23	10	0	2	0
2	30	10	0	2	0
3	31	8	0	6	0
0	49	12	0	4	0
1	51	8	0	3	0
3	64	10	0	2	0
2	62	8	0	2	0
2	39	9	0	2	0
2	28	9	0	5	0
1	48	11	0	2	0
2	35	8	0	4	0
2	47	10	0	2	0
4	39	9	0	1	0
2	39	17	0	1	1
2	40	10	0	1	0
1	67	8	0	5	0
2	39	10	0	3	0
2	35	8	0	6	0
4	61	8	0	6	0
7	77	8	0	1	0
2	39	10	0	5	0
2	53	8	0	3	0
2	61	8	0	2	0
2	61	8	0	2	0
1	66	8	0	2	0
1	57	8	0	1	0
2	44	8	0	2	0
1	25	10	0	4	0
3	53	12	0	1	0
1	26	10	0	5	0
2	74	10	0	3	0
1	29	10	0	1	0
1	28	10	0	1	0
2	32	16	0	5	1
2	44	10	0	4	0
1	32	10	0	6	0
1	42	8	0	3	0
2	36	10	0	1	0
4	55	8	0	5	0
1	44	10	0	5	0
0	24	16	0	5	0
0	63	10	0	2	0
1	18	9	0	1	0
3	52	7	0	6	0
6	38	10	0	6	0
2	52	8	0	2	0
2	65	8	0	3	0
2	35	15	0	5	0
1	28	10	0	5	0
3	28	8	0	5	0
0	20	10	0	6	0
2	36	10	0	4	0
2	49	15	0	2	1
1	50	8	0	1	0
2	54	15	0	2	0
2	58	12	0	5	0
2	61	8	0	3	0
1	38	10	0	3	0
0	69	8	0	5	0
0	34	10	0	5	0
1	66	8	0	2	0
1	26	10	0	5	0
1	68	8	0	1	0
2	48	8	0	4	0
0	21	10	0	5	0
2	40	13	0	6	0
4	40	8	0	1	0
2	31	10	0	5	0
4	49	8	0	4	0
1	26	10	0	6	0
2	62	12	0	6	0
1	35	16	0	5	1
3	52	8	0	6	0
5	66	8	0	3	0
5	61	10	0	2	0
3	46	10	0	3	0
2	42	10	0	6	0
0	61	9	0	5	0
1	54	8	0	4	0
0	54	8	0	1	0
4	52	8	0	2	0
1	21	10	0	4	0
1	81	8	0	6	0
2	38	15	0	5	0
1	53	8	0	6	0
0	51	15	0	4	0
2	48	10	0	3	0
0	64	8	0	3	0
1	65	8	0	2	0
1	48	8	0	4	0
1	54	8	0	2	0
2	36	9	0	2	0
2	36	10	0	3	0
1	42	10	0	4	0
0	49	17	0	4	1
2	69	10	0	4	0
1	50	8	0	2	0
3	36	10	0	5	0
1	45	10	0	3	0
2	31	16	0	2	1
3	70	8	0	1	0
1	87	8	0	3	0
2	38	16	0	5	1
2	29	10	0	5	0
2	53	10	0	5	0
2	41	8	0	5	0
4	62	8	0	2	0
2	81	8	0	6	0
1	21	9	0	5	0
0	34	8	0	5	0
1	30	8	0	5	0
3	50	8	0	3	0
1	60	8	0	1	0
0	35	10	0	4	0
1	21	10	0	5	0
3	54	8	0	3	0
1	79	12	0	2	0
3	37	10	0	6	0
2	69	10	0	4	0
2	54	10	0	4	0
0	57	10	0	1	0
0	22	12	0	5	0
1	64	8	0	2	0
1	34	10	0	2	0
2	48	8	0	2	0
2	48	8	0	5	0
5	61	8	0	2	0
4	30	8	0	3	0
2	66	8	0	2	0
3	30	10	0	1	0
1	43	10	0	1	0
0	65	12	0	1	0
2	29	10	0	6	0
0	49	17	0	3	1
1	28	10	0	2	0
6	53	8	0	3	0
4	57	8	0	3	0
0	79	8	0	3	0
2	40	19	0	2	1
1	61	9	0	2	0
0	50	15	0	2	1
1	78	13	0	1	0
1	40	10	0	2	0
1	26	18	0	5	1
1	59	8	0	2	0
0	32	20	0	2	1
1	23	10	0	6	0
2	32	10	0	1	0
1	57	22	0	3	1
2	30	10	0	5	0
1	52	10	0	2	0
4	33	8	0	2	0
4	58	12	0	5	0
2	34	10	0	6	0
1	37	10	0	6	0
1	64	8	0	2	0
2	29	10	0	5	0
2	64	8	0	6	0
0	53	8	0	6	0
0	20	10	0	6	0
0	85	8	0	6	0
2	41	10	0	6	0
2	32	10	0	2	0
2	30	10	0	1	0
1	25	10	0	3	0
0	22	10	0	5	0
2	41	8	0	3	0
2	57	15	0	3	1
0	55	8	0	5	0
3	72	8	0	1	0
0	77	8	0	6	0
0	34	10	0	4	0
2	39	10	0	5	0
1	24	10	0	2	0
1	25	10	0	1	0
2	28	10	0	4	0
3	56	10	0	2	0
1	22	10	0	2	0
1	26	10	0	3	0
3	61	8	0	6	0
2	57	8	0	4	0
2	48	13	0	2	0
1	56	8	0	2	0
1	67	13	0	5	0
0	48	10	0	2	0
2	26	10	0	5	0
0	60	8	0	5	0
1	34	10	0	6	0
6	65	8	0	2	0
1	26	10	0	5	0
2	32	10	0	2	0
2	54	8	0	5	0
2	57	8	0	6	0
0	60	8	0	1	0
1	41	8	0	5	0
0	21	15	0	3	0
2	35	16	0	6	1
0	28	10	0	5	0
2	58	8	0	2	0
1	36	10	0	5	0
0	57	17	0	5	1
1	25	10	0	5	0
2	53	8	0	6	0
1	21	10	0	6	0
2	47	10	0	5	0
2	58	8	0	4	0
2	30	10	0	6	0
2	35	10	0	5	0
3	59	10	0	4	0
2	63	10	0	5	0
0	65	8	0	2	0
0	26	10	0	4	0
0	23	10	0	5	0
3	43	8	0	2	0
1	21	10	0	5	0
2	39	10	0	1	0
4	60	8	0	2	0
5	72	10	0	1	0
2	59	8	0	2	0
3	33	10	0	3	0
3	30	10	0	3	0
2	51	8	0	5	0
2	54	8	0	5	0
1	25	10	0	5	0
2	46	10	0	4	0
2	66	10	0	1	0
6	53	8	0	5	0
2	37	12	0	6	0
2	28	10	0	5	0
1	23	10	0	1	0
2	55	8	0	2	0
0	39	10	0	2	0
3	35	12	1	2	1
5	71	8	0	5	0
2	38	8	0	5	0
3	37	10	0	6	0
0	22	10	0	6	0
2	33	10	0	3	0
2	32	10	0	2	0
3	49	8	0	4	0
0	22	10	0	6	0
0	27	10	0	2	0
0	73	8	0	2	0
3	50	8	0	2	0
1	67	8	0	2	0
1	72	8	0	6	0
1	68	8	0	3	0
2	62	8	0	1	0
2	69	8	0	3	0
1	78	8	0	3	0
1	80	8	0	5	0
2	29	10	0	6	0
2	35	10	0	6	0
1	52	15	0	2	0
1	45	10	0	2	0
2	49	10	0	5	0
2	65	10	0	3	0
2	33	10	0	6	0
2	25	10	0	3	0
3	42	9	0	3	0
2	62	8	0	5	0
9	84	8	0	1	0
1	50	8	0	4	0
2	55	8	0	1	0
3	52	13	0	2	0
2	31	10	0	6	0
2	57	11	0	5	0
1	37	10	0	3	0
1	19	10	0	2	0
0	65	8	0	5	0
1	72	8	0	4	0
2	38	10	0	5	0
3	53	8	0	5	0
2	30	10	0	1	0
2	33	13	0	1	0
0	22	10	0	4	0
2	30	10	0	5	0
0	34	10	0	5	0
6	38	10	0	1	0
3	59	8	0	5	0
0	66	8	0	2	0
2	52	8	0	4	0
1	39	16	0	2	1
1	52	8	0	3	0
0	22	15	0	4	0
2	29	10	0	5	0
3	35	10	0	5	0
0	66	8	0	3	0
3	63	8	0	6	0
1	36	8	0	1	0
3	71	10	0	3	0
0	52	17	0	1	1
1	50	8	0	2	0
2	61	8	0	1	0
1	53	8	0	1	0
1	40	10	0	3	0
3	35	10	0	5	0
2	29	10	0	2	0
2	42	8	0	3	0
2	56	16	0	4	1
2	55	8	0	1	0
2	34	13	0	2	0
0	57	17	0	3	1
0	87	8	0	2	0
3	64	10	0	2	0
2	60	8	0	6	0
2	31	10	0	3	0
2	41	10	0	2	0
2	31	10	0	1	0
2	50	8	0	1	0
3	77	10	0	5	0
1	42	8	0	5	0
1	24	10	0	3	0
1	71	8	0	2	0
1	22	10	0	5	0
0	31	10	0	6	0
3	64	8	0	2	0
2	37	10	0	2	0
1	46	8	0	2	0
2	29	10	0	2	0
2	30	10	0	2	0
1	58	8	0	2	0
2	31	12	0	2	0
2	57	8	0	2	0
2	48	10	0	2	0
0	66	8	0	6	0
3	70	8	0	6	0
0	21	8	0	5	0
3	83	9	0	3	0
2	87	8	0	3	0
1	39	12	0	4	0
1	35	12	0	4	0
0	54	8	0	6	0
2	49	8	0	3	0
1	28	17	0	6	1
2	32	16	0	6	1
1	29	10	0	2	0
2	26	16	0	2	1
3	57	8	0	5	0
1	23	10	0	6	0
1	35	10	0	5	0
2	34	10	0	5	0
2	26	10	0	2	0
2	52	8	0	4	0
0	21	15	0	2	0
4	41	17	0	5	1
2	40	10	0	6	0
2	38	10	0	1	0
2	71	8	0	1	0
2	30	10	0	3	0
3	31	10	0	5	0
1	27	10	0	3	0
0	67	8	0	4	0
2	53	10	0	6	0
5	64	8	0	2	0
2	43	10	0	5	0
2	54	10	0	5	0
1	61	8	0	5	0
1	56	8	0	2	0
2	26	10	0	3	0
2	64	10	0	2	0
2	37	8	0	1	0
7	53	8	0	4	0
2	39	12	0	4	0
0	19	10	0	2	0
1	70	10	0	2	0
2	38	10	0	6	0
3	53	11	0	4	0
4	31	10	0	2	0
1	22	10	0	1	0
4	51	8	0	1	0
2	35	13	0	1	0
2	58	10	0	5	0
0	22	10	0	6	0
3	48	8	0	1	0
2	56	8	0	6	0
2	52	10	0	2	0
1	43	10	0	1	0
2	62	8	0	4	0
2	34	10	0	2	0
3	47	16	0	5	0
4	70	12	0	1	0
0	19	10	0	5	0
2	38	10	0	5	0
0	66	8	0	4	0
0	21	12	0	3	0
1	34	10	0	5	0
4	38	8	0	5	0
2	44	15	0	4	0
0	21	10	0	4	0
2	37	10	0	2	0
2	29	10	0	5	0
1	22	10	0	6	0
0	20	10	0	2	0
2	51	9	0	6	0
3	43	10	0	1	0
2	41	16	0	2	1
0	73	10	0	3	0
2	33	10	0	6	0
3	55	7	0	2	0
4	57	8	0	5	0
1	27	10	0	3	0
2	34	10	0	5	0
2	27	10	0	4	0
1	42	10	0	2	0
1	57	8	0	2	0
1	56	8	0	2	0
2	31	10	0	6	0
2	35	18	0	1	1
0	30	10	0	6	0
1	40	10	0	2	0
1	76	8	0	3	0
1	56	8	0	2	0
2	54	8	0	2	0
2	36	10	0	5	0
1	24	10	0	5	0
1	77	8	0	2	0
1	78	8	0	2	0
2	46	18	0	2	1
3	58	10	0	2	0
2	51	18	0	3	1
4	70	8	0	4	0
3	32	10	0	2	0
0	74	12	0	3	0
2	73	8	0	3	0
2	35	10	0	2	0
2	31	10	0	3	0
3	78	8	0	1	0
3	34	10	0	6	0
2	36	10	0	3	0
0	25	10	0	4	0
1	48	10	0	5	0
2	26	10	0	2	0
0	24	17	0	2	1
3	71	8	0	3	0
2	37	10	0	4	0
2	47	10	0	4	0
2	40	8	0	5	0
2	50	8	0	6	0
1	60	8	0	3	0
2	45	10	0	3	0
4	39	8	0	2	0
1	57	10	0	2	0
3	50	10	0	2	0
0	50	15	0	2	0
1	70	8	0	2	0
0	68	8	0	3	0
0	53	8	0	1	0
0	77	8	0	1	0
0	77	8	0	1	0
2	32	10	0	6	0
2	40	17	0	6	1
2	39	16	0	2	1
5	43	10	0	5	0
2	52	8	0	6	0
2	70	8	0	2	0
4	33	10	0	5	0
1	34	10	0	5	0
1	31	10	0	5	0
2	30	16	0	1	1
5	58	8	0	3	0
1	45	8	0	5	0
2	48	8	0	3	0
4	52	12	0	1	0
3	53	8	0	6	0
1	49	7	0	6	0
4	37	15	0	5	0
2	60	8	0	6	0
3	53	8	0	1	0
3	52	8	0	2	0
2	53	8	0	2	0
1	58	12	0	5	0
4	58	8	0	5	0
2	33	10	0	2	0
3	30	10	0	6	0
2	66	8	0	5	0
0	64	8	0	4	0
0	19	10	0	5	0
2	56	8	0	1	0
1	37	10	0	2	0
1	55	8	0	1	0
1	38	10	0	2	0
0	60	8	0	6	0
2	29	10	0	5	0
3	42	8	0	6	0
1	29	10	0	2	0
1	41	10	0	5	0
2	68	17	0	5	1
1	49	10	0	2	0
2	64	17	0	1	1
3	38	8	0	2	0
1	49	8	0	6	0
2	58	8	0	2	0
2	39	10	0	4	0
0	24	10	0	5	0
3	36	10	0	1	0
2	47	10	0	5	0
2	53	12	0	6	0
1	76	8	0	2	0
0	33	10	0	5	0
0	22	12	0	6	0
3	39	10	0	5	0
1	39	10	0	3	0
1	36	10	0	2	0
0	69	10	0	2	0
1	54	10	0	5	0
2	60	8	0	5	0
4	57	8	0	1	0
2	34	17	0	1	1
2	78	7	0	2	0
0	55	10	0	2	0
1	31	10	0	5	0
2	32	10	0	3	0
0	78	8	0	3	0
3	42	8	0	3	0
2	28	10	0	2	0
1	20	13	0	2	0
1	22	10	0	3	0
2	71	8	0	6	0
0	57	8	0	3	0
0	69	8	0	2	0
1	54	10	0	2	0
0	23	16	0	6	0
3	45	8	0	2	0
2	54	8	0	6	0
0	56	8	0	5	0
0	30	10	0	4	0
4	50	10	0	5	0
0	64	8	0	4	0
3	35	10	0	2	0
2	33	10	0	2	0
2	49	8	0	4	0
2	52	8	0	3	0
0	21	14	0	6	0
1	64	8	0	2	0
1	28	10	0	4	0
0	21	10	0	6	0
0	71	16	0	4	1
2	67	8	0	4	0
2	32	10	0	5	0
1	38	16	0	5	1
2	30	16	0	2	1
2	39	8	0	5	0
2	42	8	0	2	0
0	21	10	0	3	0
5	57	8	0	3	0
1	40	14	0	2	0
4	33	8	0	4	0
1	34	10	0	2	0
1	28	10	0	5	0
0	20	12	0	5	0
1	37	16	0	5	1
3	39	16	0	5	1
2	42	16	0	2	1
0	22	10	0	2	0
1	60	8	0	2	0
3	74	8	0	3	0
2	60	8	0	1	0
1	54	8	0	5	0
3	28	10	0	4	0
2	69	8	0	1	0
3	37	8	0	3	0
2	55	8	0	3	0
2	31	11	0	1	0
2	53	8	0	2	0
2	54	8	0	1	0
2	41	15	0	4	1
1	22	13	0	5	0
1	22	10	0	4	0
1	57	12	0	2	0
2	45	12	0	2	0
2	47	10	0	2	0
3	38	10	0	3	0
2	69	8	0	2	0
0	56	8	0	6	0
6	72	8	0	2	0
3	51	8	0	2	0
2	34	10	0	5	0
2	30	10	0	2	0
2	53	8	0	6	0
1	22	8	0	6	0
1	25	10	0	6	0
2	35	10	0	2	0
2	33	10	0	2	0
2	37	10	0	6	0
4	51	8	0	2	0
5	65	8	0	5	0
2	44	12	0	6	0
2	24	10	0	5	0
1	52	8	0	4	0
1	27	10	0	5	0
2	27	10	0	6	0
4	76	8	0	6	0
1	22	10	0	6	0
